GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
0100000US,,United States,0100000US,,,United States,72.6,0.1
0100000US,,United States,0400000US23,23,1,Maine,94.4,0.1
0100000US,,United States,0400000US50,50,1,Vermont,94.4,0.2
0100000US,,United States,0400000US33,33,3,New Hampshire,93.4,0.2
0100000US,,United States,0400000US54,54,4,West Virginia,93.1,0.1
0100000US,,United States,0400000US56,56,5,Wyoming,92.0,0.4
0100000US,,United States,0400000US19,19,6,Iowa,90.4,0.2
0100000US,,United States,0400000US16,16,7,Idaho,89.7,0.4
0100000US,,United States,0400000US30,30,8,Montana,89.0,0.2
0100000US,,United States,0400000US31,31,9,Nebraska,87.8,0.3
0100000US,,United States,0400000US38,38,10,North Dakota,87.2,0.4
0100000US,,United States,0400000US21,21,11,Kentucky,87.1,0.1
0100000US,,United States,0400000US49,49,12,Utah,86.3,0.3
0100000US,,United States,0400000US55,55,13,Wisconsin,85.5,0.1
0100000US,,United States,0400000US46,46,14,South Dakota,84.7,0.3
0100000US,,United States,0400000US20,20,15,Kansas,84.6,0.3
0100000US,,United States,0400000US41,41,16,Oregon,84.4,0.3
0100000US,,United States,0400000US08,08,17,Colorado,84.0,0.2
0100000US,,United States,0400000US18,18,18,Indiana,83.5,0.2
0100000US,,United States,0400000US27,27,19,Minnesota,83.3,0.1
0100000US,,United States,0400000US29,29,20,Missouri,82.3,0.1
0100000US,,United States,0400000US39,39,21,Ohio,81.6,0.1
0100000US,,United States,0400000US42,42,22,Pennsylvania,80.9,0.1
0100000US,,United States,0400000US44,44,23,Rhode Island,80.5,0.6
0100000US,,United States,0400000US25,25,24,Massachusetts,78.5,0.2
0100000US,,United States,0400000US26,26,24,Michigan,78.5,0.1
0100000US,,United States,0400000US47,47,26,Tennessee,77.8,0.1
0100000US,,United States,0400000US09,09,27,Connecticut,76.7,0.3
0100000US,,United States,0400000US05,05,28,Arkansas,76.6,0.2
0100000US,,United States,0400000US04,04,29,Arizona,75.8,0.3
0100000US,,United States,0400000US53,53,30,Washington,75.7,0.2
0100000US,,United States,0400000US12,12,31,Florida,75.6,0.1
0100000US,,United States,0400000US48,48,32,Texas,74.3,0.1
0100000US,,United States,0400000US35,35,33,New Mexico,74.0,0.6
0100000US,,United States,0400000US40,40,34,Oklahoma,72.4,0.2
0100000US,,United States,0400000US17,17,35,Illinois,71.3,0.2
0100000US,,United States,0400000US10,10,36,Delaware,69.2,0.5
0100000US,,United States,0400000US37,37,37,North Carolina,68.9,0.1
0100000US,,United States,0400000US01,01,38,Alabama,68.2,0.1
0100000US,,United States,0400000US34,34,39,New Jersey,68.1,0.3
0100000US,,United States,0400000US51,51,40,Virginia,67.8,0.1
0100000US,,United States,0400000US45,45,41,South Carolina,67.4,0.2
0100000US,,United States,0400000US32,32,42,Nevada,66.9,0.5
0100000US,,United States,0400000US02,02,43,Alaska,64.4,0.4
0100000US,,United States,0400000US36,36,44,New York,63.5,0.2
0100000US,,United States,0400000US22,22,45,Louisiana,62.0,0.1
0100000US,,United States,0400000US06,06,46,California,59.7,0.2
0100000US,,United States,0400000US13,13,47,Georgia,58.7,0.2
0100000US,,United States,0400000US28,28,48,Mississippi,58.5,0.1
0100000US,,United States,0400000US24,24,49,Maryland,56.5,0.2
0100000US,,United States,0400000US11,11,50,District of Columbia,40.7,0.5
0100000US,,United States,0400000US15,15,51,Hawaii,25.1,0.4
0100000US,,United States,0400000US72,72,,Puerto Rico,66.8,0.6
